Karl Malone
Posicion: Ala-Pivot
Temporadas: 19
Puntos totales: 36928
Promedio puntos por partido: 25
Rebotes totales: 14968
Promedio rebotes por partido: 10.1
Asistencias totales: 5248
Promedio asistencias por partido: 3.6
Robos totales: 2085
Bloqueos totales: 1145
Porcentaje tiros de campo: 51.6
Porcentaje tiros libres: 74.2
Porcentaje tiros triples: 27.4
