Larry Bird
Posicion: Ala-Pivot
Temporadas: 13
Puntos totales: 21791
Promedio puntos por partido: 24.3
Rebotes totales: 8974
Promedio rebotes por partido: 10
Asistencias totales: 5695
Promedio asistencias por partido: 6.3
Robos totales: 1556
Bloqueos totales: 755
Porcentaje tiros de campo: 49.6
Porcentaje tiros libres: 88.6
Porcentaje tiros triples: 37.6
